invoice_number,imported_as_packages,invoice_raw_imported
76591F374,51,410
765F74374,207,729
768450374,7,43
776427374,252,600
77915X374,4,7
7848VR374,1,3
78R789374,0,1
78Y99F374,979,2560
7F9621374,0,1
7R3476374,0,26
7X2307374,56,115
7X9F12374,49,122
821863374,264,891
830VR3374,41,119
837548374,5,18
83Y7Y2374,246,685
857208374,0,1
861418374,207,1029
8623AR374,30,144
8668FE374,2,6
868R7A374,1,3
868W1A374,11,27
868W1F374,1,2
870575374,0,1
8743YR374,0,2
877Y3F374,116,355
87812R374,20,50
878349374,9,21
87W2A4374,165,1527
88462F374,29,89
907WF1374,12,41
9169F3374,364,1145
918950374,692,2295
924813374,62,205
925479374,136,141
92R65V374,50,67
937Y37374,54,244
94E799374,661,2466
95E79A374,30,88
96Y0F0374,142,406
979229374,45,116
97W03E374,76,163
97XF26374,0,1
993635374,213,532
99E02W374,1,7
9E178E374,287,1644
9F1254374,132,292
9R8518374,16,35
9V2467374,3,10
9WX497374,78,197
9X9Y11374,3,8
9XY173374,580,1428
A01T40374,79,234
A02W75374,19,45
A1A136374,0,1
A1A561374,1641,6278
A1R166374,8,18
A31V38374,16,60
A34839374,4,14
A3607F374,8,26
A3V410374,55,89
A3Y545374,335,998
A5086E374,16,40
A5807V374,705,2448
A71V15374,58,181
A9V164374,73,247
A9W487374,0,1
AW9051374,2,7
AX2102374,54,134
E001R9374,3042,6139
E00917374,50,186
E04W35374,187,520
E0789A374,162,528
E0E309374,47,155
E0W777374,58,191
E100R8374,242,1122
E14410374,257,841
E1E312374,64,219
E27A68374,132,401
E37826374,226,499
E404W5374,97,319
E4066E374,19,48
E5A272374,5,15
E66857374,135,398
E74863374,18,65
E90079374,3,13
F33E65374,333,804
F478W1374,9,22
F4Y807374,38,48
R23661374,18,46
R50E57374,51,134
R59F34374,0,1
R70R05374,0,1
RV0065374,436,1122
RV2769374,3,11
RW5637374,64,165
RW7073374,0,1
RW7248374,1,4
RY0249374,6,21
T990T3374,7,22
V08949374,2,21
V3247Y374,1,6
V3366F374,28,61
V3Y840374,6,53
V4A432374,273,861
V52110374,18,56
V53W63374,623,2266
V88E24374,35,80
W31A73374,11,37
W34R02374,5,11
W4141Y374,783,3183
W65979374,215,3552
W65R54374,119,260
W8R328374,63,186
X10741374,93,300
X18282374,23,71
X4021Y374,151,503
X4V406374,1,2
X75152374,144,327
X7992A374,61,252
X7X177374,83,392
X83856374,450,646
X84594374,76,348
X8903V374,7,28
X8X811374,14,39
Y3109W374,32,83
Y3A087374,1,25
Y3R261374,65,204
Y47821374,26,90
Y763Y6374,12,45
Y9R164374,302,457
YV0639374,1,7
YX2340374,36,98
YX6263374,396,2161
YY0299374,382,1002
92E3W9374,8,24
932655374,12,15
959E94374,506,1542
95A28R374,75,227
970447374,20,53
986584374,155,536
98X567374,13,29
9V2V06374,217,516
9X24X5374,151,458
9X2570374,8,25
A1230W374,209,451
A21W75374,129,252
A2357Y374,13,74
A251T1374,65,177
A2719V374,2,6
A3445V374,419,1070
A428R2374,41,144
A57E83374,257,471
A57W99374,5,17
A63E61374,136,450
A7604V374,10,33
A80383374,155,475
A855V3374,0,1
A9A387374,103,420
AE7349374,129,250
AW4961374,0,1
E001R8374,0,1
E0152W374,12,47
E098V1374,69,158
E21A04374,4,9
E30W83374,0,4
E3243W374,12,26
E32522374,56,118
E560F9374,10,31
E58E94374,2,3
E82E16374,46,110
E96552374,114,253
FY1569374,54,123
R09570374,27,83
R09Y17374,19,46
R44194374,1024,1988
R540E5374,0,1
R595R3374,0,1
R59755374,0,1
R597R0374,0,1
R63Y87374,97,211
R64284374,0,1
R6470E374,6,14
R65E61374,0,1
R8R675374,0,1
R933E6374,0,1
R94968374,0,1
RY0311374,4,14
T772T7374,251,742
V0017Y374,18,52
V18E10374,1,5
V20932374,46,106
V3411A374,28,77
V4X882374,43,114
V96908374,0,1
W3V153374,22,87
W681E2374,86,310
W681E6374,102,322
W73F08374,0,26
W84252374,180,425
W885F2374,308,411
W949R6374,22,305
WA1791374,20,51
X0454R374,75,203
X12Y26374,4,34
X3R986374,0,1
X570V9374,0,1
X65396374,48,147
X6R729374,693,2184
X7W381374,180,416
XR7951374,7,30
Y0319A374,75,200
Y235X6374,0,123
